2026-02-07 10:31:03.393 [background-preinit][TID: N/A][trace:] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.ServerHttpObservationFilter.doFilterInternal(ServerHttpObservationFilter.java:109)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at io.undertow.servlet.handlers.FilterHandler.handleRequest(FilterHandler.java:84)
	at io.undertow.servlet.handlers.security.ServletSecurityRoleHandler.handleRequest(ServletSecurityRoleHandler.java:62)
	at io.undertow.servlet.handlers.ServletChain$1.handleRequest(ServletChain.java:68)
	at io.undertow.servlet.handlers.ServletDispatchingHandler.handleRequest(ServletDispatchingHandler.java:36)
	at io.undertow.servlet.handlers.RedirectDirHandler.handleRequest(RedirectDirHandler.java:68)
	at io.undertow.servlet.handlers.security.SSLInformationAssociationHandler.handleRequest(SSLInformationAssociationHandler.java:117)
	at io.undertow.servlet.handlers.security.ServletAuthenticationCallHandler.handleRequest(ServletAuthenticationCallHandler.java:57)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.security.handlers.AbstractConfidentialityHandler.handleRequest(AbstractConfidentialityHandler.java:46)
	at io.undertow.servlet.handlers.security.ServletConfidentialityConstraintHandler.handleRequest(ServletConfidentialityConstraintHandler.java:64)
	at io.undertow.security.handlers.AuthenticationMechanismsHandler.handleRequest(AuthenticationMechanismsHandler.java:60)
	at io.undertow.servlet.handlers.security.CachedAuthenticatedSessionHandler.handleRequest(CachedAuthenticatedSessionHandler.java:77)
	at io.undertow.security.handlers.AbstractSecurityContextAssociationHandler.handleRequest(AbstractSecurityContextAssociationHandler.java:43)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SendErrorPageHandler.handleRequest(SendErrorPageHandler.java:52)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SessionRestoringHandler.handleRequest(SessionRestoringHandler.java:119)
	at io.undertow.servlet.handlers.ServletInitialHandler.handleFirstRequest(ServletInitialHandler.java:276)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:135)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:132)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:48)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.handlers.ServletInitialHandler.dispatchRequest(ServletInitialHandler.java:256)
	at io.undertow.servlet.handlers.ServletInitialHandler$1.handleRequest(ServletInitialHandler.java:101)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:393)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:859)
	at org.jboss.threads.ContextHandler$1.runWith(ContextHandler.java:18)
	at org.jboss.threads.EnhancedQueueExecutor$Task.run(EnhancedQueueExecutor.java:2513)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1538)
	at org.xnio.XnioWorker$WorkerThreadFactory$1$1.run(XnioWorker.java:1282)
	at java.base/java.lang.Thread.run(Thread.java:842)
2026-02-07 11:11:57.034 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - reqUrl:/nacos-api/commissionReview/api/calcAgentCommission
2026-02-07 11:11:57.034 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - ====http Response====: [{"code":10003,"message":"PROMPT_10003","transactionId":"","data":null,"messAppend":null,"ok":false}]
2026-02-07 11:11:57.034 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException: Cannot invoke "java.math.BigDecimal.compareTo(java.math.BigDecimal)" because "totalValid" is null]
2026-02-07 11:11:57.044 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestUrl====: [POST] [/nacos-api/commissionReview/api/calcAgentCommission]
2026-02-07 11:11:57.044 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestHeaders====: [{traceId=482364385591468032, siteCode=0, Accept=*/*, timezone=UTC-5, Connection=Keep-Alive, User-Agent=okhttp/4.10.0, reqClientSource=1, Host=192.168.62.93:7010, requestIp=127.0.0.1, userAgent=okhttp/4.10.0, Accept-Encoding=gzip, oneId=123456789123, userAccount=feng01, Accept-Language=zh-CN, Content-Length=468, X-Custom=m.bw2a.net, Content-Type=application/json}]
2026-02-07 11:11:57.045 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - ====body====: [{"siteCode":"Lq5c4J","startTime":1754841600000,"endTime":1754927999999,"flushTime":1754928000000,"timeZoneStr":"UTC+8","currencyCode":"PHP","venueType":8,"records":[{"siteCode":"Lq5c4J","agentId":"6541732","dayMillis":1754841600000,"venueType":4,"currency":"PHP","betAmount":null,"validAmount":null,"roomType":null},{"siteCode":"Lq5c4J","agentId":"8083892","dayMillis":1754841600000,"venueType":4,"currency":"PHP","betAmount":null,"validAmount":null,"roomType":null}]}]
2026-02-07 11:11:57.055 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.a.s.c.AgentCommissionDailyCalcService -  handleCalcAgentCommission : startTime:1754841600000,endTime:1754927999999,siteCode:Lq5c4J
2026-02-07 11:11:57.084 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] ERROR c.c.b.c.c.h.APIExceptionHandler - error
java.lang.NullPointerException: Cannot invoke "java.math.BigDecimal.compareTo(java.math.BigDecimal)" because "totalValid" is null
	at com.cloud.baowang.agent.service.commission.AgentCommissionDailyCalcService.calcVenueTypeRate(AgentCommissionDailyCalcService.java:282)
	at com.cloud.baowang.agent.service.commission.AgentCommissionDailyCalcService.handleCalcAgentCommission(AgentCommissionDailyCalcService.java:146)
	at com.cloud.baowang.agent.api.AgentCommissionReviewApiImpl.calcAgentCommission(AgentCommissionReviewApiImpl.java:136)
	at jdk.internal.reflect.GeneratedMethodAccessor184.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:207)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:152)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:117)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:884)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:797)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1080)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:973)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1011)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:914)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:547)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:614)
	at io.undertow.servlet.handlers.ServletHandler.handleRequest(ServletHandler.java:74)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:129)
	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.ServerHttpObservationFilter.doFilterInternal(ServerHttpObservationFilter.java:109)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at io.undertow.servlet.handlers.FilterHandler.handleRequest(FilterHandler.java:84)
	at io.undertow.servlet.handlers.security.ServletSecurityRoleHandler.handleRequest(ServletSecurityRoleHandler.java:62)
	at io.undertow.servlet.handlers.ServletChain$1.handleRequest(ServletChain.java:68)
	at io.undertow.servlet.handlers.ServletDispatchingHandler.handleRequest(ServletDispatchingHandler.java:36)
	at io.undertow.servlet.handlers.RedirectDirHandler.handleRequest(RedirectDirHandler.java:68)
	at io.undertow.servlet.handlers.security.SSLInformationAssociationHandler.handleRequest(SSLInformationAssociationHandler.java:117)
	at io.undertow.servlet.handlers.security.ServletAuthenticationCallHandler.handleRequest(ServletAuthenticationCallHandler.java:57)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.security.handlers.AbstractConfidentialityHandler.handleRequest(AbstractConfidentialityHandler.java:46)
	at io.undertow.servlet.handlers.security.ServletConfidentialityConstraintHandler.handleRequest(ServletConfidentialityConstraintHandler.java:64)
	at io.undertow.security.handlers.AuthenticationMechanismsHandler.handleRequest(AuthenticationMechanismsHandler.java:60)
	at io.undertow.servlet.handlers.security.CachedAuthenticatedSessionHandler.handleRequest(CachedAuthenticatedSessionHandler.java:77)
	at io.undertow.security.handlers.AbstractSecurityContextAssociationHandler.handleRequest(AbstractSecurityContextAssociationHandler.java:43)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SendErrorPageHandler.handleRequest(SendErrorPageHandler.java:52)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SessionRestoringHandler.handleRequest(SessionRestoringHandler.java:119)
	at io.undertow.servlet.handlers.ServletInitialHandler.handleFirstRequest(ServletInitialHandler.java:276)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:135)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:132)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:48)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.handlers.ServletInitialHandler.dispatchRequest(ServletInitialHandler.java:256)
	at io.undertow.servlet.handlers.ServletInitialHandler$1.handleRequest(ServletInitialHandler.java:101)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:393)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:859)
	at org.jboss.threads.ContextHandler$1.runWith(ContextHandler.java:18)
	at org.jboss.threads.EnhancedQueueExecutor$Task.run(EnhancedQueueExecutor.java:2513)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1538)
	at org.xnio.XnioWorker$WorkerThreadFactory$1$1.run(XnioWorker.java:1282)
	at java.base/java.lang.Thread.run(Thread.java:842)
2026-02-07 11:11:57.085 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - reqUrl:/nacos-api/commissionReview/api/calcAgentCommission
2026-02-07 11:11:57.085 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - ====http Response====: [{"code":10003,"message":"PROMPT_10003","transactionId":"","data":null,"messAppend":null,"ok":false}]
2026-02-07 11:11:57.085 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException: Cannot invoke "java.math.BigDecimal.compareTo(java.math.BigDecimal)" because "totalValid" is null]
2026-02-07 11:11:57.095 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestUrl====: [POST] [/nacos-api/commissionReview/api/calcAgentCommission]
2026-02-07 11:11:57.095 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.i.LogInterceptor - ====RequestHeaders====: [{traceId=482364385591468032, siteCode=0, Accept=*/*, timezone=UTC-5, Connection=Keep-Alive, User-Agent=okhttp/4.10.0, reqClientSource=1, Host=192.168.62.93:7010, requestIp=127.0.0.1, userAgent=okhttp/4.10.0, Accept-Encoding=gzip, oneId=123456789123, userAccount=feng01, Accept-Language=zh-CN, Content-Length=468, X-Custom=m.bw2a.net, Content-Type=application/json}]
2026-02-07 11:11:57.096 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - ====body====: [{"siteCode":"Lq5c4J","startTime":1754841600000,"endTime":1754927999999,"flushTime":1754928000000,"timeZoneStr":"UTC+8","currencyCode":"PHP","venueType":9,"records":[{"siteCode":"Lq5c4J","agentId":"6541732","dayMillis":1754841600000,"venueType":4,"currency":"PHP","betAmount":null,"validAmount":null,"roomType":null},{"siteCode":"Lq5c4J","agentId":"8083892","dayMillis":1754841600000,"venueType":4,"currency":"PHP","betAmount":null,"validAmount":null,"roomType":null}]}]
2026-02-07 11:11:57.105 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.a.s.c.AgentCommissionDailyCalcService -  handleCalcAgentCommission : startTime:1754841600000,endTime:1754927999999,siteCode:Lq5c4J
2026-02-07 11:11:57.627 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] ERROR c.c.b.c.c.h.APIExceptionHandler - error
java.lang.NullPointerException: Cannot invoke "java.math.BigDecimal.compareTo(java.math.BigDecimal)" because "totalValid" is null
	at com.cloud.baowang.agent.service.commission.AgentCommissionDailyCalcService.calcVenueTypeRate(AgentCommissionDailyCalcService.java:282)
	at com.cloud.baowang.agent.service.commission.AgentCommissionDailyCalcService.handleCalcAgentCommission(AgentCommissionDailyCalcService.java:146)
	at com.cloud.baowang.agent.api.AgentCommissionReviewApiImpl.calcAgentCommission(AgentCommissionReviewApiImpl.java:136)
	at jdk.internal.reflect.GeneratedMethodAccessor184.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:207)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:152)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:117)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:884)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:797)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1080)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:973)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1011)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:914)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:547)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:614)
	at io.undertow.servlet.handlers.ServletHandler.handleRequest(ServletHandler.java:74)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:129)
	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.ServerHttpObservationFilter.doFilterInternal(ServerHttpObservationFilter.java:109)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at io.undertow.servlet.core.ManagedFilter.doFilter(ManagedFilter.java:67)
	at io.undertow.servlet.handlers.FilterHandler$FilterChainImpl.doFilter(FilterHandler.java:131)
	at io.undertow.servlet.handlers.FilterHandler.handleRequest(FilterHandler.java:84)
	at io.undertow.servlet.handlers.security.ServletSecurityRoleHandler.handleRequest(ServletSecurityRoleHandler.java:62)
	at io.undertow.servlet.handlers.ServletChain$1.handleRequest(ServletChain.java:68)
	at io.undertow.servlet.handlers.ServletDispatchingHandler.handleRequest(ServletDispatchingHandler.java:36)
	at io.undertow.servlet.handlers.RedirectDirHandler.handleRequest(RedirectDirHandler.java:68)
	at io.undertow.servlet.handlers.security.SSLInformationAssociationHandler.handleRequest(SSLInformationAssociationHandler.java:117)
	at io.undertow.servlet.handlers.security.ServletAuthenticationCallHandler.handleRequest(ServletAuthenticationCallHandler.java:57)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.security.handlers.AbstractConfidentialityHandler.handleRequest(AbstractConfidentialityHandler.java:46)
	at io.undertow.servlet.handlers.security.ServletConfidentialityConstraintHandler.handleRequest(ServletConfidentialityConstraintHandler.java:64)
	at io.undertow.security.handlers.AuthenticationMechanismsHandler.handleRequest(AuthenticationMechanismsHandler.java:60)
	at io.undertow.servlet.handlers.security.CachedAuthenticatedSessionHandler.handleRequest(CachedAuthenticatedSessionHandler.java:77)
	at io.undertow.security.handlers.AbstractSecurityContextAssociationHandler.handleRequest(AbstractSecurityContextAssociationHandler.java:43)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SendErrorPageHandler.handleRequest(SendErrorPageHandler.java:52)
	at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)
	at io.undertow.servlet.handlers.SessionRestoringHandler.handleRequest(SessionRestoringHandler.java:119)
	at io.undertow.servlet.handlers.ServletInitialHandler.handleFirstRequest(ServletInitialHandler.java:276)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:135)
	at io.undertow.servlet.handlers.ServletInitialHandler$2.call(ServletInitialHandler.java:132)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:48)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.handlers.ServletInitialHandler.dispatchRequest(ServletInitialHandler.java:256)
	at io.undertow.servlet.handlers.ServletInitialHandler$1.handleRequest(ServletInitialHandler.java:101)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:393)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:859)
	at org.jboss.threads.ContextHandler$1.runWith(ContextHandler.java:18)
	at org.jboss.threads.EnhancedQueueExecutor$Task.run(EnhancedQueueExecutor.java:2513)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1538)
	at org.xnio.XnioWorker$WorkerThreadFactory$1$1.run(XnioWorker.java:1282)
	at java.base/java.lang.Thread.run(Thread.java:842)
2026-02-07 11:11:57.673 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - reqUrl:/nacos-api/commissionReview/api/calcAgentCommission
2026-02-07 11:11:57.674 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] INFO  c.c.b.c.l.service.HttpRqRsLogService - ====http Response====: [{"code":10003,"message":"PROMPT_10003","transactionId":"","data":null,"messAppend":null,"ok":false}]
2026-02-07 11:11:57.674 [XNIO-1 task-2][TID: N/A][trace:482364385591468032] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException: Cannot invoke "java.math.BigDecimal.compareTo(java.math.BigDecimal)" because "totalValid" is null]
2026-02-07 11:15:09.398 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  o.s.b.w.e.undertow.UndertowWebServer - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-07 11:15:09.403 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  o.s.b.w.e.undertow.UndertowWebServer - Graceful shutdown complete
2026-02-07 11:15:09.404 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  io.undertow - stopping server: Undertow - 2.3.3.Final
2026-02-07 11:15:09.406 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2026-02-07 11:15:09.438 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  c.a.c.n.r.NacosServiceRegistry - De-registering from Nacos Server now...
2026-02-07 11:15:09.448 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  c.a.c.n.r.NacosServiceRegistry - De-registration finished.
2026-02-07 11:15:10.077 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  com.zaxxer.hikari.HikariDataSource - agent-biz-ds-pool - Shutdown initiated...
2026-02-07 11:15:10.308 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  com.zaxxer.hikari.HikariDataSource - agent-biz-ds-pool - Shutdown completed.
2026-02-07 11:15:30.863 [background-preinit][TID: N/A][trace:] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2026-02-07 11:15:30.899 [restartedMain][TID: N/A][trace:] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-02-07 11:15:32.370 [restartedMain][TID: N/A][trace:] WARN  c.a.c.n.c.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[agent-biz] & group[feng]
2026-02-07 11:15:32.577 [restartedMain][TID: N/A][trace:] WARN  c.a.c.n.c.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[agent-biz-feng.yml] & group[feng]
2026-02-07 11:15:32.578 [restartedMain][TID: N/A][trace:] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-agent-biz-feng.yml,feng'}, BootstrapPropertySource {name='bootstrapProperties-agent-biz.yml,feng'}, BootstrapPropertySource {name='bootstrapProperties-agent-biz,feng'}, BootstrapPropertySource {name='bootstrapProperties-common-config.yml,feng'}]
2026-02-07 11:15:32.592 [restartedMain][TID: N/A][trace:] INFO  c.c.baowang.agent.AgentApplication - The following 1 profile is active: "feng"
2026-02-07 11:15:36.167 [restartedMain][TID: N/A][trace:] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-07 11:15:36.168 [restartedMain][TID: N/A][trace:] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-07 11:15:36.201 [restartedMain][TID: N/A][trace:] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
2026-02-07 11:15:37.211 [restartedMain][TID: N/A][trace:] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9d4abe9e-d04b-3a48-85f1-0fdecb3d1d6d
2026-02-07 11:15:38.089 [restartedMain][TID: N/A][trace:] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-02-07 11:15:38.089 [restartedMain][TID: N/A][trace:] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5486 ms
2026-02-07 11:15:39.089 [restartedMain][TID: N/A][trace:] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.cloud.baowang.agent.po.AgentClosurePO ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-02-07 11:15:45.440 [restartedMain][TID: N/A][trace:] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2026-02-07 11:15:45.458 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 11:15:45.686 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'system-business-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 11:15:45.718 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'wallet-biz' URL not provided. Will try picking an instance via load-balancing.
2026-02-07 11:15:45.745 [restartedMain][TID: N/A][trace:] INFO  o.s.c.o.FeignClientFactoryBean - For 'user-biz' URL not provided. Will try picking an instance via load-balancing.
